iter	Passed	Remaining
0	140	50240
1	268	47873
2	404	47851
3	534	47295
4	655	46313
5	795	46664
6	904	45375
7	992	43420
8	1109	43037
9	1226	42691
10	1351	42622
11	1430	41243
12	1509	40058
13	1625	39946
14	1767	40418
15	1898	40576
16	2036	40853
17	2167	40950
18	2299	41020
19	2453	41459
20	2590	41578
21	2690	41088
22	2837	41333
23	2976	41426
24	3124	41618
25	3293	42051
26	3441	42196
27	3605	42497
28	3805	43176
29	3986	43585
30	4193	44230
31	4364	44458
32	4539	44706
33	4617	44002
34	4781	44121
35	4880	43650
36	5066	43951
37	5256	44265
38	5405	44214
39	5567	44260
40	5724	44256
41	5881	44247
42	6032	44192
43	6201	44255
44	6377	44359
45	6561	44505
46	6724	44494
47	6857	44290
48	6990	44079
49	7148	44036
50	7300	43946
51	7437	43768
52	7573	43584
53	7723	43482
54	7815	43054
55	7975	43008
56	8141	42990
57	8330	43088
58	8462	42887
59	8594	42684
60	8730	42506
61	8824	42128
62	8969	41999
63	9102	41812
64	9231	41613
65	9414	41652
66	9555	41502
67	9638	41106
68	9738	40788
69	9880	40651
70	10016	40490
71	10153	40333
72	10263	40068
73	10401	39918
74	10536	39756
75	10648	39512
76	10766	39291
77	10909	39162
78	11088	39162
79	11234	39038
80	11313	38689
81	11438	38501
82	11530	38203
83	11673	38077
84	11822	37971
85	11978	37886
86	12107	37715
87	12237	37545
88	12383	37429
89	12513	37262
90	12638	37082
91	12774	36936
92	12905	36773
93	13042	36628
94	13126	36339
95	13231	36109
96	13395	36043
97	13555	35963
98	13682	35796
99	13835	35695
100	13973	35555
101	14114	35425
102	14184	35116
103	14335	35012
104	14426	34761
105	14542	34572
106	14607	34265
107	14766	34182
108	14910	34061
109	15074	33985
110	15184	33788
111	15329	33669
112	15456	33511
113	15530	33240
114	15596	32955
115	15754	32866
116	15905	32761
117	15996	32534
118	16128	32392
119	16217	32164
120	16360	32044
121	16507	31932
122	16686	31880
123	16760	31628
124	16889	31482
125	17000	31301
126	17075	31058
127	17227	30956
128	17373	30841
129	17511	30712
130	17613	30521
131	17736	30367
132	17893	30271
133	18040	30157
134	18175	30023
135	18317	29901
136	18458	29775
137	18534	29547
138	18628	29350
139	18760	29213
140	18882	29060
141	18938	28807
142	18993	28557
143	19068	28337
144	19134	28108
145	19224	27914
146	19344	27766
147	19438	27581
148	19551	27424
149	19697	27313
150	19810	27158
151	19911	26984
152	20009	26810
153	20169	26717
154	20272	26550
155	20349	26349
156	20479	26219
157	20551	26013
158	20636	25828
159	20742	25668
160	20862	25527
161	20922	25313
162	21044	25175
163	21123	24988
164	21227	24829
165	21312	24650
166	21445	24527
167	21593	24421
168	21767	24343
169	21893	24212
170	21957	24012
171	22047	23842
172	22155	23692
173	22262	23542
174	22407	23431
175	22551	23320
176	22630	23141
177	22707	22963
178	22843	22843
179	22959	22704
180	23096	22586
181	23202	22437
182	23328	22308
183	23390	22119
184	23516	21991
185	23580	21805
186	23664	21640
187	23836	21554
188	23983	21445
189	24118	21325
190	24196	21155
191	24343	21047
192	24496	20942
193	24563	20765
194	24696	20643
